objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Trains: Rising Sun","157001","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38159063","6.40338","7.43339","2.4286","1477","3842","thing","Trains: Rising Sun","2","4","45","45","45","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group","English","2014","English edition"
"Trajan","102680","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","18958776","7.47929","7.74905","3.6335","137","21423","thing","Trajan","2","4","120","120","60","2012","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ammonit Spiele; HUCH!; Hutter Trade GmbH + Co KG","Dutch; English; French; German","2012","Multilingual edition 2012"
"Trambahn","175293","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50411508","6.22444","6.94309","1.798","2005","3836","thing","Trambahn","2","2","45","45","30","2015","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mayfair Games","English","2015","English edition"
"Treasure Hunter","182189","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","35647259","6.23934","6.75718","1.8909","1944","5430","thing","Treasure Hunter","2","6","40","40","40","2015","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","English","2015","English edition"
"Tripoley","4853","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54504547","5.5309","5.64456","1.4762","15324","2569","thing","Tripoley","2","9","60","60","60","2014","4,5,6,7,8,9","4,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ideal","English","2014","Ideal Deluxe Mat edition 2014"
"TSCHAK!","104377","6.5","1","0","1","0","0","0","0","0","0","0","1","","","","","","31243424","5.71055","6.31276","1.569","5739","1062","thing","TSCHAK!","2","4","40","40","40","2011","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","GameWorks SàRL","English; French; German","2011","English/French/German edition"
"Tsuro","16992","0","8","0","1","0","0","0","0","0","0","0","1","","","","","","10354989","6.53686","6.66782","1.2215","1173","44242","thing","Tsuro","2","8","20","20","15","2009","2,3,4,5,6,7,8","4,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Calliope Games","English; French; German; Italian; Portuguese; Spanish","2009","Calliope multilingual edition 2009"
"Tumult Royale","180591","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","35651831","5.73128","6.46742","2.0385","5403","1940","thing","Tumult Royale","2","4","40","40","40","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2015","English edition"
"Tzolk'in: The Mayan Calendar","126163","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29949035","7.692","7.85213","3.6662","66","48035","thing","Tzolk'in: The Mayan Calendar","2","4","90","90","90","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Czech Games Edition","English","2014","CGE-only English edition 2014"
"Ubongo","16986","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","31729582","6.43072","6.68219","1.5058","1407","14172","thing","Ubongo","1","4","25","25","25","2015","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2015","English edition"
"Veggie Garden","211533","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48891901","5.53138","5.70641","1.2308","15216","820","thing","Veggie Garden","2","4","30","30","20","2017","2,3,4","4","8+","","","","","","","standalone","","","","","","","","","","","","Quick Simple Fun Games","English","2017","English edition"
"Veggie Garden: Harvest Festival Expansion","233865","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56358567","5.52247","6.90764","0","0","345","thing","Veggie Garden: Harvest Festival Expansion","2","4","30","0","30","2017","","","Up to 8","","","","","","","expansion","","","","","","","","","","","","Quick Simple Fun Games","English","2017","English edition"
"Via Nebula","191231","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","37123502","6.52764","7.01746","2.2481","1188","6635","thing","Via Nebula","2","4","60","60","45","2016","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Space Cowboys","English","2016","English edition"
"Village","104006","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","35096343","7.29419","7.48795","3.0609","233","30546","thing","Village","2","4","90","90","60","2016","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","eggertspiele; Stronghold Games","English","2016","English-only third edition"
"Viticulture Essential Edition","183394","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34571529","7.82719","7.97768","2.8913","39","72060","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Stonemaier Games","English","2015","English edition 2015"
"Voilà!","180598","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54507447","5.53673","6.29854","1","14200","228","thing","Voilà!","2","6","30","0","30","2015","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Brain Games","English; Estonian; French; German; Latvian; Lithuanian; Russian","2015","Multilingual edition"
"Warehouse 51","177702","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34256092","5.6689","6.16292","1.7222","6550","2196","thing","Warehouse 51","3","5","45","45","30","2015","3,4,5","5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Funforge; Passport Game Studios","English; French","2015","English/French edition"
"Welcome To...","233867","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","85884748","7.36675","7.52271","1.843","197","51236","thing","Welcome To...","1","100","25","25","25","2018","1,2,3,4,5,6,7,8,9,10,11","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Cocker Games","English; French","2018","Blue Cocker English/French edition"
"Wits & Wagers","20100","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","26319564","6.73693","6.92689","1.2073","812","21818","thing","Wits & Wagers","3","7","25","25","25","2012","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","NorthStar Game Studio","English","2012","North Star Games English edition 2012"
"Woodlands","247313","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60086619","5.6617","6.6294","1.8182","6725","937","thing","Woodlands","2","4","40","40","20","2018","2,3,4","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Ravensburger","English","2018","English edition"
"Wrath of Dragons","181122","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","34312871","5.66847","6.94516","2.8","6564","735","thing","Wrath of Dragons","2","6","90","90","60","2015","3,4,5,6","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Yamataï","213893","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47346789","6.75299","7.18277","2.9615","788","9729","thing","Yamataï","2","4","80","80","40","2017","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","English","2017","English edition"
"Yōkaï no Mori","148641","0","2","0","1","0","0","0","0","0","0","0","1","","","","","","33295390","5.68304","6.90593","2.4444","0","678","thing","Yōkaï no Mori","2","2","15","15","15","2013","2","2","6","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"彩色島","181260","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39298962","5.93354","6.71965","3.7736","3429","2501","thing","Burano","2","4","120","120","90","2015","2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","EmperorS4","Chinese; English","2015","Chinese/English edition"
